DATE,CSUSHPINSA
1987-01-01,63.735
1987-02-01,64.134
1987-03-01,64.47
1987-04-01,64.97399999999999
1987-05-01,65.54899999999999
1987-06-01,66.22
1987-07-01,66.78699999999999
1987-08-01,67.27
1987-09-01,67.624
1987-10-01,67.902
1987-11-01,68.092
1987-12-01,68.344
1988-01-01,68.583
1988-02-01,68.916
1988-03-01,69.325
1988-04-01,69.79
1988-05-01,70.40899999999999
1988-06-01,71.068
1988-07-01,71.686
1988-08-01,72.185
1988-09-01,72.574
1988-10-01,72.82300000000001
1988-11-01,73.065
1988-12-01,73.279
1989-01-01,73.618
1989-02-01,73.969
1989-03-01,74.411
1989-04-01,74.868
1989-05-01,75.296
1989-06-01,75.697
1989-07-01,76.043
1989-08-01,76.274
1989-09-01,76.422
1989-10-01,76.48899999999999
1989-11-01,76.52199999999999
1989-12-01,76.498
1990-01-01,76.527
1990-02-01,76.587
1990-03-01,76.79
1990-04-01,77.038
1990-05-01,77.297
1990-06-01,77.505
1990-07-01,77.56
1990-08-01,77.479
1990-09-01,77.229
1990-10-01,76.913
1990-11-01,76.381
1990-12-01,75.972
1991-01-01,75.533
1991-02-01,75.25
1991-03-01,75.137
1991-04-01,75.318
1991-05-01,75.76899999999999
1991-06-01,76.25399999999999
1991-07-01,76.518
1991-08-01,76.595
1991-09-01,76.57600000000001
1991-10-01,76.291
1991-11-01,76.031
1991-12-01,75.844
1992-01-01,75.699
1992-02-01,75.654
1992-03-01,75.813
1992-04-01,76.08
1992-05-01,76.398
1992-06-01,76.602
1992-07-01,76.711
1992-08-01,76.73100000000001
1992-09-01,76.628
1992-10-01,76.598
1992-11-01,76.579
1992-12-01,76.464
1993-01-01,76.395
1993-02-01,76.328
1993-03-01,76.383
1993-04-01,76.661
1993-05-01,77.03
1993-06-01,77.516
1993-07-01,77.885
1993-08-01,78.131
1993-09-01,78.19800000000001
1993-10-01,78.172
1993-11-01,78.17
1993-12-01,78.11399999999999
1994-01-01,78.199
1994-02-01,78.205
1994-03-01,78.35
1994-04-01,78.702
1994-05-01,79.209
1994-06-01,79.702
1994-07-01,80.064
1994-08-01,80.317
1994-09-01,80.34
1994-10-01,80.304
1994-11-01,80.17
1994-12-01,80.079
1995-01-01,80.027
1995-02-01,79.993
1995-03-01,80.079
1995-04-01,80.37
1995-05-01,80.692
1995-06-01,81.069
1995-07-01,81.41199999999999
1995-08-01,81.655
1995-09-01,81.73899999999999
1995-10-01,81.72800000000001
1995-11-01,81.632
1995-12-01,81.514
1996-01-01,81.428
1996-02-01,81.4
1996-03-01,81.666
1996-04-01,82.126
1996-05-01,82.603
1996-06-01,83.04899999999999
1996-07-01,83.419
1996-08-01,83.646
1996-09-01,83.70299999999999
1996-10-01,83.63
1996-11-01,83.557
1996-12-01,83.491
1997-01-01,83.531
1997-02-01,83.59700000000001
1997-03-01,83.912
1997-04-01,84.322
1997-05-01,84.865
1997-06-01,85.399
1997-07-01,85.84200000000001
1997-08-01,86.15100000000001
1997-09-01,86.311
1997-10-01,86.40899999999999
1997-11-01,86.633
1997-12-01,86.84899999999999
1998-01-01,87.164
1998-02-01,87.374
1998-03-01,87.87799999999999
1998-04-01,88.55799999999999
1998-05-01,89.374
1998-06-01,90.195
1998-07-01,90.86
1998-08-01,91.40700000000001
1998-09-01,91.75299999999999
1998-10-01,92.001
1998-11-01,92.199
1998-12-01,92.445
1999-01-01,92.715
1999-02-01,92.98100000000001
1999-03-01,93.611
1999-04-01,94.436
1999-05-01,95.361
1999-06-01,96.365
1999-07-01,97.193
1999-08-01,97.899
1999-09-01,98.40100000000001
1999-10-01,98.833
1999-11-01,99.15
1999-12-01,99.545
2000-01-01,100.00
2000-02-01,100.571
2000-03-01,101.46600000000001
2000-04-01,102.54
2000-05-01,103.70100000000001
2000-06-01,104.855
2000-07-01,105.721
2000-08-01,106.521
2000-09-01,107.135
2000-10-01,107.728
2000-11-01,108.291
2000-12-01,108.791
2001-01-01,109.214
2001-02-01,109.641
2001-03-01,110.39299999999999
2001-04-01,111.24700000000001
2001-05-01,112.20200000000001
2001-06-01,113.272
2001-07-01,114.226
2001-08-01,114.98700000000001
2001-09-01,115.464
2001-10-01,115.68
2001-11-01,115.837
2001-12-01,116.054
2002-01-01,116.436
2002-02-01,116.916
2002-03-01,117.929
2002-04-01,119.209
2002-05-01,120.788
2002-06-01,122.333
2002-07-01,123.68700000000001
2002-08-01,124.73
2002-09-01,125.494
2002-10-01,126.13600000000001
2002-11-01,126.64200000000001
2002-12-01,127.15
2003-01-01,127.652
2003-02-01,128.326
2003-03-01,129.308
2003-04-01,130.488
2003-05-01,131.839
2003-06-01,133.225
2003-07-01,134.64600000000002
2003-08-01,135.965
2003-09-01,137.076
2003-10-01,137.976
2003-11-01,138.765
2003-12-01,139.628
2004-01-01,140.705
2004-02-01,142.029
2004-03-01,144.08
2004-04-01,146.179
2004-05-01,148.334
2004-06-01,150.518
